groupId	protId	protCount	functId	desc
ENOG410WEBS	ENSP00000364568	6	S	chromosome 9 open reading frame
ENOG410WD0K	ENSP00000327048	2	K	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
ENOG410WBPN	ENSP00000403936	3	JO	EF1G
ENOG410VDD6	ENSP00000337561	49	U	Solute carrier family 43 member
ENOG410WBX1	ENSP00000155093	2	K	transcriptional activator. Binds to the consensus sequence 5'-AGGCCY-3'
ENOG410VMJS	ENSP00000312702	15	U	defensin, beta 114
ENOG410WBYA	ENSP00000278765	3	E	gamma-glutamyltransferase light chain
ENOG410WBSS	ENSP00000389658	2	S	NA
ENOG410VTKR	ENSP00000331625	5	S	Chromosome 3 open reading frame
ENOG410VE1Q	ENSP00000244576	18	K	zinc finger protein 391
ENOG410WDD1	ENSP00000295367	7	O	small proline-rich protein 3
ENOG410WFYG	ENSP00000316891	14	Z	LIM and calponin homology domains 1
ENOG410VFSU	ENSP00000331545	13	T	olfactory receptor, family 1, subfamily G, member 1
ENOG410WG4X	ENSP00000353847	16	K	WW domain containing transcription regulator 1
ENOG410WBTP	ENSP00000428353	2	S	NA
ENOG410VWPP	ENSP00000398619	4	Z	PMG protein
ENOG410VKDQ	ENSP00000365426	78	S	Gamma-glutamylamine cyclotransferase
ENOG410WEMH	ENSP00000365641	6	S	NA
ENOG410V5XG	ENSP00000292894	28	S	THAP domain containing 8
ENOG410VFHJ	ENSP00000302603	10	K	zinc finger protein 556
ENOG410WBR1	ENSP00000437714	3	S	chromosome 3 open reading frame 74
ENOG410WBKU	ENSP00000297142	3	K	neuronal differentiation 6
ENOG410V5QP	ENSP00000285947	56	S	SET domain containing 9
ENOG410V8K1	ENSP00000362328	35	P	potassium channel, subfamily K, member 17
ENOG410WBTX	ENSP00000472226	2	S	NA
ENOG410VF8I	ENSP00000223428	17	K	Zinc finger protein 510
ENOG410V4T6	ENSP00000281806	45	T	melanin-concentrating hormone receptor 2
ENOG410VFYV	ENSP00000359382	19	S	PAS domain containing 1
ENOG410VK8B	ENSP00000327691	19	S	high mobility group nucleosomal binding domain 4
ENOG410WBTI	ENSP00000427690	2	W	Glycophorin A
ENOG410WBXB	ENSP00000448840	2	S	NA
ENOG410VAQW	ENSP00000353465	25	S	gasdermin B
ENOG410WBY9	ENSP00000416229	3	S	NA
ENOG410VD85	ENSP00000303437	57	U	t-SNARE domain containing 1
ENOG410WBUV	ENSP00000411198	3	S	keratin associated protein 4-16, pseudogene
ENOG410VDDI	ENSP00000468900	31	S	transmembrane protein 187
ENOG410WBIZ	ENSP00000439189	5	Z	POTE ankyrin domain family, member
ENOG410WBUB	ENSP00000383578	4	S	NA
ENOG410WBQ3	ENSP00000401471	2	S	NA
ENOG410WERS	ENSP00000254321	6	K	Zinc finger protein
ENOG410WFQX	ENSP00000350009	17	O	ubiquitin carboxyl-terminal hydrolase
ENOG410VCVH	ENSP00000355443	18	T	olfactory receptor, family 2, subfamily C, member
ENOG410WHJ6	ENSP00000347596	29	T	EGF containing fibulin-like extracellular matrix protein 1
ENOG410VFNB	ENSP00000382654	30	S	chromosome 6 open reading frame 10
ENOG410WISX	ENSP00000278550	7	T	teneurin transmembrane protein 4
ENOG410V52C	ENSP00000372122	55	S	chromosome 18 open reading frame 63
ENOG410V9I5	ENSP00000262144	52	B	WD repeat domain 59
ENOG410V5MA	ENSP00000272852	52	E	Carboxypeptidase O
ENOG410WHC7	ENSP00000363573	6	A	RRM
ENOG410WJ1F	ENSP00000369440	7	O	tripartite motif containing 6
ENOG410VNKA	ENSP00000398777	11	O	surfactant associated 2
ENOG410WBPZ	ENSP00000357739	2	Z	small proline-rich protein 2E
ENOG410WBVM	ENSP00000288666	2	J	40S ribosomal protein S4, Y isoform 2
ENOG410VYDM	ENSP00000329353	5	S	Chromosome 17 open reading frame
ENOG410VMAS	ENSP00000362968	16	O	colipase-like 1
ENOG410VDB7	ENSP00000364035	108	IJT	Fatty acid amide hydrolase 2
ENOG410VMEW	ENSP00000444544	10	S	NA
ENOG410WC11	ENSP00000333592	4	S	NA
ENOG410WFUI	ENSP00000356437	31	T	SAM and SH3 domain containing 1
ENOG410VYNU	ENSP00000363128	8	S	deleted in esophageal cancer 1
ENOG410WBKH	ENSP00000371220	3	S	loss of heterozygosity, 12, chromosomal region 2 (non-protein coding)
ENOG410VTSS	ENSP00000318154	10	S	Morf4 family associated protein 1-like 1
ENOG410VKF3	ENSP00000472780	23	S	chromosome X open reading frame 61
ENOG410WBUN	ENSP00000470910	6	S	UPF0627 protein ENSP00000341061
ENOG410VAEP	ENSP00000394472	23	S	BTB (POZ) domain containing 18
ENOG410WBNB	ENSP00000421352	3	S	NA
ENOG410VE4Q	ENSP00000310033	25	K	Zinc finger protein 596
ENOG410WBY5	ENSP00000389455	3	S	disrupted in renal carcinoma 3
ENOG410WBT9	ENSP00000371829	6	O	Variably charged protein Y 2
ENOG410V8A3	ENSP00000310686	34	S	F-box and WD repeat domain containing 8
ENOG410VMWP	ENSP00000315915	17	S	annexin A2 receptor
ENOG410WBND	ENSP00000328878	3	T	olfactory receptor, family 52, subfamily E, member 6
ENOG410VM27	ENSP00000304336	12	T	PYD (pyrin domain) containing 1
ENOG410WHIU	ENSP00000369976	27	T	EGF-like-domain, multiple 6
ENOG410WBMR	ENSP00000402825	2	L	family with sequence similarity 197, Y-linked, member 1
ENOG410V6PV	ENSP00000333802	19	K	Zinc finger protein 599
ENOG410WDQC	ENSP00000233623	20	O	tetratricopeptide repeat domain 31
ENOG410WBQ5	ENSP00000437878	2	K	Zinc finger protein 595
ENOG410WBG8	ENSP00000392262	3	T	PPP5 tetratricopeptide repeat domain containing 1
ENOG410VEJ8	ENSP00000266077	31	K	SLC2A4 regulator
ENOG410WHKU	ENSP00000395253	13	VW	mucin 19, oligomeric
ENOG410WBKW	ENSP00000346691	15	S	Acts as a GTPase activating protein for RAB5. Does not act on RAB4 or RAB11
ENOG410VMKU	ENSP00000302021	14	O	mucin 7, secreted
ENOG410WBWG	ENSP00000430581	2	S	NA
ENOG410VQZJ	ENSP00000303889	7	K	zinc finger protein 30
ENOG410WJJG	ENSP00000085219	20	T	CD22 molecule
ENOG410VAX9	ENSP00000329141	11	K	zinc finger protein 37A
ENOG410VY6Z	ENSP00000434140	3	S	NA
ENOG410WBWU	ENSP00000417696	2	K	zinc finger protein 525
ENOG410VBMM	ENSP00000300303	33	S	N-acetyltransferase 16 (GCN5-related
ENOG410WDSU	ENSP00000313691	10	P	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis
ENOG410VKZU	ENSP00000439425	13	K	HOX
ENOG410WEI0	ENSP00000327796	7	S	ddb1 and cul4 associated factor
ENOG410WHRF	ENSP00000358515	18	U	solute carrier family 22, member 15
ENOG410VNNY	ENSP00000370398	10	A	long intergenic non-protein coding RNA 583
ENOG410WHIF	ENSP00000383894	18	T	Matrilin 3
ENOG410VKP9	ENSP00000318395	11	S	Chromosome 5 open reading frame
ENOG410VF5Q	ENSP00000245908	31	T	SH2 domain containing 3A
ENOG410WCP0	ENSP00000270642	11	T	IgLON family member 5
ENOG410VDY5	ENSP00000361784	20	K	Zinc finger protein 684
ENOG410V7RU	ENSP00000313833	28	O	lipocalin 15
ENOG410V857	ENSP00000364555	26	Z	actin-like 8
ENOG410V6XW	ENSP00000367930	14	T	oxoeicosanoid (OXE) receptor 1
ENOG410VCCI	ENSP00000315505	17	K	HKR1, GLI-Kruppel zinc finger family member
ENOG410WI1F	ENSP00000254868	6	TV	C-type lectin domain family 10, member
ENOG410WFRW	ENSP00000356530	22	T	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)
ENOG410WBRZ	ENSP00000370875	3	S	NA
ENOG410WDTE	ENSP00000234195	6	S	Family with sequence similarity 82, member A1
ENOG410VFVG	ENSP00000343891	18	S	NLR family, pyrin domain containing 13
ENOG410WF1B	ENSP00000368207	6	P	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)
ENOG410WBZS	ENSP00000366951	3	S	NA
ENOG410WDNS	ENSP00000472186	18	K	TCF3 (E2A) fusion partner (in childhood Leukemia)
ENOG410WE7B	ENSP00000300870	7	K	Zinc finger protein 267
ENOG410VBRP	ENSP00000471800	12	K	Zinc finger protein 630
ENOG410VZ4H	ENSP00000293371	8	O	dermcidin
ENOG410VEZF	ENSP00000340132	24	K	zinc finger protein 383
ENOG410VA88	ENSP00000395723	29	K	zinc finger protein 200
ENOG410WBP9	ENSP00000436580	3	S	Protein of unknown function (DUF2476)
ENOG410VDJU	ENSP00000366527	25	K	zinc finger and SCAN domain containing 16
ENOG410V68I	ENSP00000335255	51	S	Angiopoietin-like 5
ENOG410WGIZ	ENSP00000262376	25	KT	ubinuclein 1
ENOG410WBS0	ENSP00000401102	4	S	NA
ENOG410WC3M	ENSP00000428266	2	S	NA
ENOG410VHR4	ENSP00000301272	16	T	transmembrane and immunoglobulin domain containing 2
ENOG410WBWK	ENSP00000468996	2	S	NA
ENOG410WFY5	ENSP00000302657	28	S	abhydrolase domain containing 15
ENOG410WC0P	ENSP00000355787	4	S	chromosome 6 open reading frame 123
ENOG410WEJ8	ENSP00000340138	6	S	deleted in lymphocytic leukemia 2-like
ENOG410WEPD	ENSP00000414033	3	S	NA
ENOG410VKHR	ENSP00000307199	32	O	alpha hemoglobin stabilizing protein
ENOG410VF12	ENSP00000353058	11	K	Zinc finger protein 517
ENOG410VPK0	ENSP00000255403	5	S	NA
ENOG410VMBV	ENSP00000242109	11	S	kiaa0087
ENOG410V5UW	ENSP00000263846	19	TU	synaptotagmin VII
ENOG410VNE5	ENSP00000312415	10	K	synovial sarcoma, X breakpoint 5
ENOG410VEFY	ENSP00000332615	37	S	family with sequence similarity 169, member B
ENOG410V8RF	ENSP00000373091	39	U	Class I histocompatibility antigen
ENOG410WFEE	ENSP00000366452	29	U	Sorting nexin 15
ENOG410VKGR	ENSP00000371825	13	O	defensin, beta 127
ENOG410VDF8	ENSP00000250340	9	TV	C-type lectin domain family 11 member A
ENOG410VHIX	ENSP00000297012	17	B	Histone H2A
ENOG410WFUS	ENSP00000156825	10	B	Methyl-CpG binding domain protein 3
ENOG410WGX1	ENSP00000331040	17	K	oligodendrocyte lineage transcription factor 2
ENOG410WDG4	ENSP00000383219	4	W	keratin associated protein
ENOG410WBKT	ENSP00000316959	3	S	NA
ENOG410VFU6	ENSP00000200676	36	V	cholesteryl ester transfer protein, plasma
ENOG410WHY8	ENSP00000365447	2	S	NA
ENOG410VY2F	ENSP00000382485	8	S	proline rich, lacrimal 1
ENOG410WET9	ENSP00000403181	5	S	NA
ENOG410WBZM	ENSP00000472173	4	S	NA
ENOG410VJTZ	ENSP00000221804	18	W	Lectin galactoside-binding soluble
ENOG410VTXS	ENSP00000248984	7	S	chromosome 22 open reading frame 24
ENOG410VYM4	ENSP00000257867	7	W	Lacritin
ENOG410VNIS	ENSP00000274766	8	S	kidney associated antigen 1
ENOG410WHXR	ENSP00000220812	18	T	Dickkopf homolog 4 (Xenopus laevis)
ENOG410WICR	ENSP00000353699	23	S	WD repeat domain 72
ENOG410WBWW	ENSP00000395811	4	S	NA
ENOG410VGB4	ENSP00000304447	29	T	pre T-cell antigen receptor alpha
ENOG410WFNK	ENSP00000331479	61	C	Cytochrome b5 domain containing 1
ENOG410WG1V	ENSP00000359121	20	W	olfactomedin 3
ENOG410VMWV	ENSP00000357226	10	S	chromosome 1 open reading frame 61
ENOG410WBMC	ENSP00000443135	2	S	NA
ENOG410WBUG	ENSP00000367672	3	S	chromosome 16 open reading frame 85
ENOG410VFZC	ENSP00000302502	16	K	Zinc finger protein 434
ENOG410VG2X	ENSP00000292530	22	K	zinc finger protein 333
ENOG410VQZP	ENSP00000401363	8	A	RNA-binding protein that plays an essential role in spermatogenesis. May act by binding to the 3'-UTR of mRNAs and regulating their translation
ENOG410VHNT	ENSP00000469654	30	U	V-set and transmembrane domain containing 1
ENOG410VIQG	ENSP00000223336	33	U	cytochrome C oxidase assembly factor 1 homolog (S. cerevisiae)
ENOG410WBPV	ENSP00000468098	3	A	small nucleolar RNA host gene 16 (non-protein coding)
ENOG410WEW3	ENSP00000470122	7	O	P antigen family, member 1 (prostate associated)
ENOG410VJU9	ENSP00000382318	12	S	chromosome 14 open reading frame 23
ENOG410WBKP	ENSP00000388590	3	S	NA
ENOG410WGJX	ENSP00000240123	23	T	sorbin and SH3 domain containing 3
ENOG410WEM1	ENSP00000393835	5	K	Zinc finger protein 506
ENOG410WIPC	ENSP00000347834	29	O	F-box and leucine-rich repeat protein 3
ENOG410WBHY	ENSP00000432743	4	O	tumor protein p53 regulated apoptosis inducing protein 1
ENOG410VD7C	ENSP00000410890	27	K	Zinc finger family member 783
ENOG410VCKE	ENSP00000216071	32	S	chromosome 22 open reading frame 31
ENOG410WBMG	ENSP00000422924	2	S	NA
ENOG410WE7Z	ENSP00000371927	7	T	G protein-coupled receptor 78
ENOG410VX9J	ENSP00000472303	27	S	cancer testis antigen family 45, member
ENOG410VMR8	ENSP00000218068	17	O	P antigen family, member 4 (prostate associated)
ENOG410WBN5	ENSP00000432561	4	W	histatin 3
ENOG410VGQG	ENSP00000409950	21	K	anomalous homeobox
ENOG410WCN5	ENSP00000318944	9	K	TNF receptor-associated factor 7, E3 ubiquitin protein ligase
ENOG410V7E9	ENSP00000223210	48	K	Zinc finger protein 862
ENOG410VXCR	ENSP00000443084	3	S	NA
ENOG410VHVB	ENSP00000438244	7	U	Killer cell lectin-like receptor subfamily F member
ENOG410WGXD	ENSP00000326391	50	K	Basic helix-loop-helix family, member a15
ENOG410VM4I	ENSP00000378441	12	S	chromosome 6 open reading frame 1
ENOG410WBNE	ENSP00000278779	3	S	Chromosome 20 open reading frame
ENOG410WG1F	ENSP00000359045	14	T	Rho GTPase activating protein 4
ENOG410VIX8	ENSP00000380933	20	S	chromosome 12 open reading frame 74
ENOG410VJWR	ENSP00000296370	31	S	S100 calcium binding protein P
ENOG410VZVY	ENSP00000371036	18	T	Signal-regulatory protein delta
ENOG410WF0I	ENSP00000473105	6	S	NA
ENOG410WBJU	ENSP00000242104	3	T	EFh
ENOG410VHTI	ENSP00000373191	34	O	leukemia NUP98 fusion partner 1
ENOG410WBJ8	ENSP00000394135	3	S	NA
ENOG410VZCI	ENSP00000303532	14	W	defensin beta
ENOG410WJ6I	ENSP00000267012	21	U	bridging integrator 2
ENOG410VDNN	ENSP00000371729	80	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
ENOG410WF1V	ENSP00000348302	3	S	NA
ENOG410VPBT	ENSP00000200691	8	P	Metallothioneins have a high content of cysteine residues that bind various heavy metals (By similarity)
ENOG410WD8M	ENSP00000361650	9	TZ	Cysteine-rich protein 3
ENOG410VIFA	ENSP00000383474	16	S	chromosome 20 open reading frame 202
ENOG410VI2W	ENSP00000365838	18	K	divergent-paired related homeobox
ENOG410WBYD	ENSP00000421473	2	S	NA
ENOG410VF7Y	ENSP00000306688	15	T	olfactory receptor, family 2, subfamily M, member 4
ENOG410WC1M	ENSP00000403688	3	S	NA
ENOG410WC52	ENSP00000450062	2	S	NA
ENOG410WIMG	ENSP00000464296	25	L	Nudix (Nucleoside diphosphate linked moiety X)-type motif 4
ENOG410WE9X	ENSP00000402355	5	S	CMT1A duplicated region transcript 15
ENOG410WC3B	ENSP00000382486	3	S	NA
ENOG410WERR	ENSP00000365358	12	K	PRAME family member
ENOG410VPDI	ENSP00000375087	10	S	chromosome 8 open reading frame 44
ENOG410WFZY	ENSP00000361383	6	T	allograft inflammatory factor 1-like
ENOG410WE8J	ENSP00000383093	4	A	RFPL3 antisense RNA 1
ENOG410WFFF	ENSP00000299633	7	K	PWWP
ENOG410V5WX	ENSP00000268896	25	I	Phosphatidylcholine transfer protein
ENOG410V8US	ENSP00000255174	43	S	chromosome 20 open reading frame 111
ENOG410VJSE	ENSP00000331766	9	TV	C-type lectin-like 1
ENOG410WBMH	ENSP00000364371	2	P	Hippocampus abundant transcript-like protein
ENOG410VXSS	ENSP00000325219	4	S	NA
ENOG410VXX4	ENSP00000239316	9	O	insulin-like 4 (placenta)
ENOG410VK97	ENSP00000415823	25	S	IGF-like family member
ENOG410WBI6	ENSP00000443070	5	S	NA
ENOG410VG26	ENSP00000429266	17	K	Zinc finger protein 829
ENOG410WJFR	ENSP00000209875	4	B	chromobox homolog 5
ENOG410WINN	ENSP00000377470	47	L	2',3'-cyclic nucleotide 3' phosphodiesterase
ENOG410WEM5	ENSP00000411032	4	K	Zinc finger protein 284
ENOG410WBUK	ENSP00000305648	4	TU	RAB40A, member RAS oncogene family
ENOG410WHC8	ENSP00000295470	15	A	Heterogeneous nuclear ribonucleoprotein D-like
ENOG410WI9G	ENSP00000199389	59	J	Eukaryotic translation initiation factor 2-alpha kinase
ENOG410VC1W	ENSP00000296059	36	U	Transmembrane 4 L six family member 18
ENOG410VKQ1	ENSP00000402914	36	S	IGv
ENOG410VU55	ENSP00000365103	6	O	D-amino acid oxidase activator
ENOG410WBTN	ENSP00000351884	12	S	SPANX family, member
ENOG410VMZC	ENSP00000471925	13	S	NA
ENOG410WBJC	ENSP00000454407	5	S	golgin A6 family-like 2
ENOG410WF4T	ENSP00000400644	3	S	NA
ENOG410WEAW	ENSP00000384340	5	S	NA
ENOG410VDMG	ENSP00000264072	30	TV	Fc fragment of IgE, low affinity II, receptor for (CD23)
ENOG410VNTS	ENSP00000441960	7	S	NA
ENOG410WBG4	ENSP00000468913	5	S	X antigen family, member 5
ENOG410VYWB	ENSP00000364474	8	S	chromosome 9 open reading frame 118
ENOG410WE7P	ENSP00000252979	7	K	zinc finger protein 337
ENOG410WC2T	ENSP00000387118	2	S	NA
ENOG410WBG0	ENSP00000357773	3	T	NA
ENOG410VY0G	ENSP00000365812	4	L	EP400 N-terminal like
ENOG410VKB3	ENSP00000239125	12	S	chromosome 10 open reading frame 95
ENOG410WFC6	ENSP00000396593	18	Z	Dystrotelin
ENOG410VA4D	ENSP00000294635	28	T	leucine rich repeat containing 53
ENOG410WI6X	ENSP00000321987	33	W	thrombospondin-type laminin G domain and EAR repeats
ENOG410VBUY	ENSP00000383366	25	S	EF-hand calcium binding domain 8
ENOG410V7MT	ENSP00000318834	28	T	Olfactory receptor
ENOG410VFRJ	ENSP00000293471	18	K	zinc finger protein 613
ENOG410WBJB	ENSP00000397372	3	S	NA
ENOG410WJSF	ENSP00000360112	19	A	Ribonucleoprotein PTB-binding 2
ENOG410WBVY	ENSP00000349651	4	S	NA
ENOG410V9WN	ENSP00000456272	56	O	intraflagellar transport 80 homolog (Chlamydomonas)
ENOG410VFPW	ENSP00000457127	86	T	Olfactory receptor
ENOG410WC1C	ENSP00000384224	2	S	NA
ENOG410WEER	ENSP00000332288	8	O	B-box zinc finger
ENOG410WBHA	ENSP00000436099	2	S	NA
ENOG410WC2D	ENSP00000435158	2	S	NA
ENOG410WC1T	ENSP00000364865	4	S	NA
ENOG410WHER	ENSP00000352995	24	T	rho rac guanine nucleotide exchange factor (GEF) 18
ENOG410VN6W	ENSP00000253381	16	O	defensin, beta 118
ENOG410WE97	ENSP00000358031	4	S	chromosome 1 open reading frame 138
ENOG410VMI6	ENSP00000319126	11	O	defensin, beta 112
ENOG410V78J	ENSP00000311447	32	O	aspartate beta-hydroxylase domain containing 1
ENOG410VNPI	ENSP00000389835	8	S	NA
ENOG410V6XQ	ENSP00000345339	23	K	Zinc finger protein
ENOG410VMA4	ENSP00000370588	18	U	CD99 molecule
ENOG410VDV2	ENSP00000345479	18	K	Zinc finger protein
ENOG410V8P6	ENSP00000348129	47	S	WD repeat domain 88
ENOG410VSJ8	ENSP00000323191	19	S	sarcoma antigen 1
ENOG410WGCZ	ENSP00000347443	34	T	Ras association (RalGDS AF-6) domain family member
ENOG410WBQE	ENSP00000414068	2	E	Pyrroline-5-carboxylate reductase family, member 2
ENOG410WBGH	ENSP00000345469	3	S	NA
ENOG410VCEV	ENSP00000469002	24	K	Zinc finger protein 81
ENOG410WBTC	ENSP00000454339	4	S	TP53-target gene 3 protein-like
ENOG410WBHC	ENSP00000417330	2	Z	keratin associated protein 5-7
ENOG410VM4J	ENSP00000368732	7	I	diacylglycerol O-acyltransferase 2-like 7, pseudogene
ENOG410W20U	ENSP00000393719	24	S	C-type lectin domain family 17, member A
ENOG410VY8E	ENSP00000391989	7	S	NA
ENOG410V54N	ENSP00000334308	31	Z	spectrin repeat containing, nuclear envelope family member 3
ENOG410WEMX	ENSP00000418522	5	A	long intergenic non-protein coding RNA 636
ENOG410WI3E	ENSP00000239761	45	T	mannose receptor, C type 1
ENOG410WBI1	ENSP00000386207	3	V	histocompatibility (minor) serpin domain containing
ENOG410V7HA	ENSP00000222125	30	T	Calcyphosine
ENOG410V87R	ENSP00000391551	14	S	NA
ENOG410VE8H	ENSP00000386186	58	BD	Tigger transposable
ENOG410VUV6	ENSP00000355340	7	L	Apolipoprotein B mRNA editing enzyme, catalytic
ENOG410VNDY	ENSP00000301439	6	S	NA
ENOG410WHJP	ENSP00000410674	16	T	Neurogenic locus notch homolog protein 4
ENOG410WD7S	ENSP00000296098	13	O	tripartite motif containing
ENOG410WBMU	ENSP00000428019	2	S	NA
ENOG410WFXD	ENSP00000356545	17	P	calcium channel, voltage-dependent, R type, alpha 1E subunit
ENOG410WCBD	ENSP00000324302	13	U	syntaxin binding protein 6 (Amisyn)
ENOG410WBHV	ENSP00000413972	3	S	NA
ENOG410VZNI	ENSP00000255746	4	K	KRAB box
ENOG410VMXG	ENSP00000334077	13	S	NA
ENOG410VXTR	ENSP00000367422	7	S	deleted in lymphocytic leukemia 1 (non-protein coding)
ENOG410WIR1	ENSP00000340914	22	TU	Synaptotagmin III
ENOG410WBPJ	ENSP00000375181	4	S	NA
ENOG410VDV5	ENSP00000337555	24	K	Zinc finger protein
ENOG410VFUC	ENSP00000341165	20	K	zinc finger protein 772
ENOG410VKG6	ENSP00000243924	28	W	peptidase inhibitor 3, skin-derived
ENOG410V742	ENSP00000365830	64	S	sosondowah ankyrin repeat domain family member C
ENOG410VHB2	ENSP00000340004	7	K	Zinc finger protein
ENOG410VNI7	ENSP00000004921	6	T	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
ENOG410VQR1	ENSP00000347043	8	K	zinc finger protein 649
ENOG410WBIU	ENSP00000417935	3	C	aldo-keto reductase family 1, member C-like 1
ENOG410VIR2	ENSP00000364252	51	I	Phospholipase A2, group IIA (Platelets, synovial fluid)
ENOG410WGAP	ENSP00000264144	20	W	laminin, gamma 2
ENOG410VMZI	ENSP00000261811	19	S	cysteine-rich transmembrane module containing 1
ENOG410VP47	ENSP00000328307	18	S	family with sequence similarity 47, member
ENOG410WC1G	ENSP00000383520	2	Z	Tektin family
ENOG410VGEY	ENSP00000333735	13	S	nuclear pore associated protein 1
ENOG410VA0Y	ENSP00000421258	12	K	zinc finger protein 154
ENOG410V70J	ENSP00000311596	24	K	zinc finger protein 699
ENOG410WBGR	ENSP00000423125	2	S	NA
ENOG410WEKG	ENSP00000284481	5	S	chromosome 8 open reading frame 12
ENOG410WDKQ	ENSP00000353114	8	O	AHNAK nucleoprotein 2
ENOG410WHCB	ENSP00000414302	10	A	serine arginine-rich splicing factor 12
ENOG410VMBC	ENSP00000365684	14	S	chromosome 10 open reading frame 115
ENOG410VAWC	ENSP00000340988	31	T	low density lipoprotein receptor class A domain containing 2
ENOG410VG20	ENSP00000326967	9	K	zinc finger protein 121
ENOG410V4CN	ENSP00000223114	48	I	monoacylglycerol O-acyltransferase 3
ENOG410WEQ1	ENSP00000385461	6	K	transcription factor Dp family, member 3
ENOG410WBRS	ENSP00000414891	3	O	tigger transposable element derived 1-like 2
ENOG410WBHN	ENSP00000443317	2	S	NA
ENOG410VGPB	ENSP00000287143	27	TV	proteoglycan 3
ENOG410WHKZ	ENSP00000368544	21	VW	LCCL
ENOG410WED6	ENSP00000350336	6	S	Down syndrome critical region
ENOG410VEP2	ENSP00000302393	12	C	lactate dehydrogenase A-like 6B
